,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
111,Basler_acA2500-14um__23891378__20221129_144902408_0124.tiff,1544,761,36,17,15,33,32,35,35,37,38,37,40,37,41,36,42,37,40,36,39,36,37,36,37,8,6,12,10,23,20,29,26
112,Basler_acA2500-14um__23891378__20221129_144902408_0125.tiff,1544,760,36,17,15,33,32,35,35,37,38,37,40,36,41,36,41,37,39,36,38,36,37,36,37,8,6,13,10,23,20,28,26
113,Basler_acA2500-14um__23891378__20221129_144902408_0126.tiff,1544,760,36,17,15,32,32,34,34,37,37,37,40,36,41,36,41,37,39,36,38,36,37,36,37,8,6,12,10,23,19,29,26
114,Basler_acA2500-14um__23891378__20221129_144902408_0127.tiff,1544,760,36,17,14,32,32,34,34,36,37,37,40,35,41,36,41,36,39,36,38,35,37,36,36,8,6,12,10,23,19,28,25
115,Basler_acA2500-14um__23891378__20221129_144902408_0128.tiff,1544,760,36,17,14,32,31,34,34,36,37,36,39,35,41,35,41,36,39,36,38,35,37,36,36,8,6,12,10,22,19,28,25
116,Basler_acA2500-14um__23891378__20221129_144902408_0129.tiff,1544,760,36,17,14,32,31,34,34,36,37,36,39,35,40,35,41,36,39,36,38,35,37,35,36,8,6,12,10,22,19,28,25
117,Basler_acA2500-14um__23891378__20221129_144902408_0130.tiff,1544,760,35,17,14,31,31,33,34,36,37,36,39,35,40,35,41,36,39,35,37,35,36,35,36,8,6,12,10,22,19,27,25
118,Basler_acA2500-14um__23891378__20221129_144902408_0131.tiff,1544,760,35,16,14,31,31,33,34,36,37,36,39,34,40,35,40,36,38,35,37,35,37,35,36,8,6,12,10,22,18,27,25
119,Basler_acA2500-14um__23891378__20221129_144902408_0132.tiff,1544,760,35,16,14,31,31,33,34,36,37,36,39,35,40,35,40,36,38,35,37,35,37,35,36,8,6,12,10,22,19,27,25
120,Basler_acA2500-14um__23891378__20221129_144902408_0133.tiff,1544,761,35,16,14,31,31,33,33,36,37,35,38,34,40,35,40,36,38,35,37,35,36,35,35,8,6,12,10,21,18,27,24
121,Basler_acA2500-14um__23891378__20221129_144902408_0134.tiff,1544,760,35,16,14,31,31,33,33,36,36,35,38,34,40,35,40,36,38,35,37,35,36,35,36,8,6,12,10,21,18,27,24
122,Basler_acA2500-14um__23891378__20221129_144902408_0135.tiff,1544,760,35,16,14,31,30,32,33,36,36,35,38,34,39,35,40,36,38,35,37,35,36,35,35,8,6,12,10,21,18,27,24
123,Basler_acA2500-14um__23891378__20221129_144902408_0136.tiff,1544,760,35,16,14,31,30,32,33,35,36,35,38,34,39,35,40,35,38,35,37,35,36,34,35,8,6,12,10,21,18,27,24
124,Basler_acA2500-14um__23891378__20221129_144902408_0137.tiff,1544,760,35,16,13,30,30,32,33,35,36,35,38,34,39,35,39,35,38,34,37,34,36,35,35,8,6,12,10,21,18,26,24
125,Basler_acA2500-14um__23891378__20221129_144902408_0138.tiff,1544,760,35,16,13,30,30,32,33,35,36,34,38,34,39,34,39,35,37,34,37,34,36,34,35,8,6,12,10,21,17,26,24
126,Basler_acA2500-14um__23891378__20221129_144902408_0139.tiff,1544,761,35,15,13,30,30,31,33,35,36,34,38,33,39,34,39,35,37,34,36,34,36,35,35,7,6,11,10,21,17,26,23
127,Basler_acA2500-14um__23891378__20221129_144902408_0140.tiff,1544,760,35,15,13,30,30,31,33,35,36,34,37,33,39,34,39,35,37,34,36,34,36,34,35,8,6,11,10,20,17,26,23
128,Basler_acA2500-14um__23891378__20221129_144902408_0141.tiff,1544,760,34,15,13,30,30,31,32,35,36,34,37,33,39,34,39,35,37,34,36,34,35,34,35,8,6,11,10,20,17,26,23
129,Basler_acA2500-14um__23891378__20221129_144902408_0142.tiff,1544,760,34,15,13,30,29,31,32,35,35,34,37,33,39,34,39,35,37,34,36,34,36,34,35,7,6,11,9,20,17,25,23
